Report Number,URL,Congress,Accompanies,Title,Committee
H. Rept. 118-350,https://www.congress.gov/congressional-report/118th-congress/house-report/350/1,118th Congress (2023-2024),H.Res. 969,"PROVIDING FOR CONSIDERATION OF THE BILL (H.R. 6914) TO REQUIRE INSTITUTIONS OF HIGHER EDUCATION TO DISSEMINATE INFORMATION ON THE RIGHTS OF, AND ACCOMMODATIONS AND RESOURCES FOR, PREGNANT STUDENTS, AND FOR OTHER PURPOSES; PROVIDING FOR CONSIDERATION OF THE BILL (H.R. 6918) TO PROHIBIT THE SECRETARY OF HEALTH AND HUMAN SERVICES FROM RESTRICTING FUNDING FOR PREGNANCY CENTERS; AND PROVIDING FOR CONSIDERATION OF THE RESOLUTION (H. RES. 957) DENOUNCING THE BIDEN ADMINISTRATION'S OPEN- BORDERS POLICIES, CONDEMNING THE NATIONAL SECURITY AND PUBLIC SAFETY CRISIS ALONG THE SOUTHWEST BORDER, AND URGING PRESIDENT BIDEN TO END HIS ADMINISTRATION'S OPEN-BORDERS POLICIES",House Rules
H. Rept. 118-349,https://www.congress.gov/congressional-report/118th-congress/house-report/349/1,118th Congress (2023-2024),H.R. 6918,SUPPORTING PREGNANT AND PARENTING WOMEN AND FAMILIES ACT,House Ways and Means
H. Rept. 118-346,https://www.congress.gov/congressional-report/118th-congress/house-report/346/1,118th Congress (2023-2024),,RESOLUTION RECOMMENDING THAT THE HOUSE OF REPRESENTATIVES FIND ROBERT HUNTER BIDEN IN CONTEMPT OF CONGRESS FOR REFUSAL TO COMPLY WITH A SUBPOENA DULY ISSUED BY THE COMMITTEE ON OVERSIGHT AND ACCOUNTABILITY,House Oversight and Accountability
H. Rept. 118-345,https://www.congress.gov/congressional-report/118th-congress/house-report/345/1,118th Congress (2023-2024),,RESOLUTION RECOMMENDING THAT THE HOUSE OF REPRESENTATIVES FIND ROBERT HUNTER BIDEN IN CONTEMPT OF CONGRESS FOR REFUSAL TO COMPLY WITH A SUBPOENA DULY ISSUED BY THE COMMITTEE ON THE JUDICIARY,House Judiciary
H. Rept. 118-344,https://www.congress.gov/congressional-report/118th-congress/house-report/344/1,118th Congress (2023-2024),H.R. 6914,PREGNANT STUDENTS' RIGHTS ACT,House Education and the Workforce
H. Rept. 118-342,https://www.congress.gov/congressional-report/118th-congress/house-report/342/1,118th Congress (2023-2024),H.Res. 947,"PROVIDING FOR CONSIDERATION OF THE BILL (H.R. 788) TO LIMIT DONATIONS MADE PURSUANT TO SETTLEMENT AGREEMENTS TO WHICH THE UNITED STATES IS A PARTY, AND FOR OTHER PURPOSES; PROVIDING FOR CONSIDERATION OF THE JOINT RESOLUTION (H.J. RES. 98) PROVIDING FOR CONGRESSIONAL DISAPPROVAL UNDER CHAPTER 8 OF TITLE 5, UNITED STATES CODE, OF THE RULE SUBMITTED BY THE NATIONAL LABOR RELATIONS BOARD RELATING TO ""STANDARD FOR DETERMINING JOINT EMPLOYER STATUS""; AND PROVIDING FOR CONSIDERATION OF THE JOINT RESOLUTION (S.J. RES. 38) PROVIDING FOR CONGRESSIONAL DISAPPROVAL UNDER CHAPTER 8 OF TITLE 5, UNITED STATES CODE, OF THE RULE SUBMITTED BY THE FEDERAL HIGHWAY ADMINISTRATION RELATING TO ""WAIVER OF BUY AMERICA REQUIREMENTS FOR ELECTRIC VEHICLE CHARGERS""",House Rules
H. Rept. 118-341,https://www.congress.gov/congressional-report/118th-congress/house-report/341/1,118th Congress (2023-2024),H.R. 6370,OFAC LICENSURE FOR INVESTIGATORS ACT,House Financial Services
H. Rept. 118-339,https://www.congress.gov/congressional-report/118th-congress/house-report/339/1,118th Congress (2023-2024),H.R. 788,STOP SETTLEMENT SLUSH FUNDS ACT OF 2023,House Judiciary
H. Rept. 118-338,https://www.congress.gov/congressional-report/118th-congress/house-report/338/1,118th Congress (2023-2024),H.J.Res. 98,"PROVIDING FOR CONGRESSIONAL DISAPPROVAL UNDER CHAPTER 8 OF TITLE 5, UNITED STATES CODE, OF THE RULE SUBMITTED BY THE NATIONAL LABOR RELATIONS BOARD RELATING TO ""STANDARD FOR DETERMINING JOINT EMPLOYER STATUS""",House Education and the Workforce
H. Rept. 118-337,https://www.congress.gov/congressional-report/118th-congress/house-report/337/1,118th Congress (2023-2024),H.R. 6585,BIPARTISAN WORKFORCE PELL ACT,House Education and the Workforce
H. Rept. 118-336,https://www.congress.gov/congressional-report/118th-congress/house-report/336/1,118th Congress (2023-2024),H.R. 4790,GUIDING UNIFORM AND RESPONSIBLE DISCLOSURE REQUIREMENTS AND INFORMATION LIMITS ACT OF 2023,House Financial Services
H. Rept. 118-335,https://www.congress.gov/congressional-report/118th-congress/house-report/335/1,118th Congress (2023-2024),,SUBMISSION TO THE U.S. HOUSE OF REPRESENTATIVES OF DOCUMENTS PROTECTED UNDER INTERNAL REVENUE CODE SECTION 6103,House Ways and Means
H. Rept. 118-334,https://www.congress.gov/congressional-report/118th-congress/house-report/334/1,118th Congress (2023-2024),H.R. 6245,HOLDING IRANIAN LEADERS ACCOUNTABLE ACT OF 2023,House Financial Services
H. Rept. 118-333,https://www.congress.gov/congressional-report/118th-congress/house-report/333/1,118th Congress (2023-2024),H.R. 5923,IRAN-CHINA ENERGY SANCTIONS ACT OF 2023,House Financial Services
H. Rept. 118-332,https://www.congress.gov/congressional-report/118th-congress/house-report/332/1,118th Congress (2023-2024),H.R. 5921,NO U.S. FINANCING FOR IRAN ACT OF 2023,House Financial Services
H. Rept. 118-331,https://www.congress.gov/congressional-report/118th-congress/house-report/331/1,118th Congress (2023-2024),H.R. 6408,TO AMEND THE INTERNAL REVENUE CODE OF 1986 TO TERMINATE THE TAX-EXEMPT STATUS OF TERRORIST SUPPORTING ORGANIZATIONS,House Ways and Means
H. Rept. 118-330,https://www.congress.gov/congressional-report/118th-congress/house-report/330/1,118th Congress (2023-2024),H.R. 6365,STOPPING ILLICIT OIL SHIPMENTS ACT OF 2023,House Financial Services
H. Rept. 118-329,https://www.congress.gov/congressional-report/118th-congress/house-report/329/1,118th Congress (2023-2024),H.R. 6367,ARMED CONFLICT MIGRATION ACT OF 2023,House Financial Services
H. Rept. 118-328,https://www.congress.gov/congressional-report/118th-congress/house-report/328/1,118th Congress (2023-2024),H.R. 4765,EXPOSING CHINA'S SUPPORT FOR THE TALIBAN ACT,House Financial Services
H. Rept. 118-327,https://www.congress.gov/congressional-report/118th-congress/house-report/327/1,118th Congress (2023-2024),H.R. 4768,NO RUSSIAN AGRICULTURE ACT,House Financial Services
H. Rept. 118-326,https://www.congress.gov/congressional-report/118th-congress/house-report/326/1,118th Congress (2023-2024),H.R. 4655,BUSINESSES OVER ACTIVISTS ACT,House Financial Services
H. Rept. 118-325,https://www.congress.gov/congressional-report/118th-congress/house-report/325/1,118th Congress (2023-2024),H.R. 4823,AMERICAN FINANCIAL INSTITUTION REGULATORY SOVEREIGNTY AND TRANSPARENCY ACT OF 2023,House Financial Services
H. Rept. 118-324,https://www.congress.gov/congressional-report/118th-congress/house-report/324/1,118th Congress (2023-2024),H.R. 4767,PROTECTING AMERICANS' RETIREMENT SAVINGS FROM POLITICS ACT,House Financial Services
H. Rept. 118-323,https://www.congress.gov/congressional-report/118th-congress/house-report/323/1,118th Congress (2023-2024),H.R. 4841,KEEP YOUR COINS ACT OF 2023,House Financial Services
H. Rept. 118-322,https://www.congress.gov/congressional-report/118th-congress/house-report/322/1,118th Congress (2023-2024),H.R. 6231,DEPARTMENT OF HOMELAND SECURITY POLICY ISSUANCE REVIEW ACT,House Homeland Security
H. Rept. 118-321,https://www.congress.gov/congressional-report/118th-congress/house-report/321/1,118th Congress (2023-2024),H.R. 6174,DHS BIODETECTION IMPROVEMENT ACT,House Homeland Security
H. Rept. 118-320,https://www.congress.gov/congressional-report/118th-congress/house-report/320/1,118th Congress (2023-2024),H.R. 4403,SECURING THE CITIES IMPROVEMENT ACT,House Homeland Security
H. Rept. 118-319,https://www.congress.gov/congressional-report/118th-congress/house-report/319/1,118th Congress (2023-2024),H.R. 1516,DHS RESTRICTIONS ON CONFUCIUS INSTITUTES AND CHINESE ENTITIES OF CONCERN ACT,House Homeland Security
H. Rept. 118-318,https://www.congress.gov/congressional-report/118th-congress/house-report/318/1,118th Congress (2023-2024),H.R. 3229,STOP FOREIGN FUNDS IN ELECTIONS ACT,Committee on House Administration
H. Rept. 118-317,https://www.congress.gov/congressional-report/118th-congress/house-report/317/1,118th Congress (2023-2024),H.R. 5485,FINANCIAL PRIVACY ACT OF 2023,House Financial Services
H. Rept. 118-316,https://www.congress.gov/congressional-report/118th-congress/house-report/316/1,118th Congress (2023-2024),H.R. 5512,RUSSIA AND BELARUS FINANCIAL SANCTIONS ACT OF 2023,House Financial Services
H. Rept. 118-315,https://www.congress.gov/congressional-report/118th-congress/house-report/315/1,118th Congress (2023-2024),H.R. 5472,FINCEN OVERSIGHT AND ACCOUNTABILITY ACT OF 2023,House Financial Services
H. Rept. 118-314,https://www.congress.gov/congressional-report/118th-congress/house-report/314/1,118th Congress (2023-2024),H.Res. 918,"DIRECTING CERTAIN COMMITTEES TO CONTINUE THEIR ONGOING INVESTIGATIONS AS PART OF THE EXISTING HOUSE OF REPRESENTATIVES INQUIRY INTO WHETHER SUFFICIENT GROUNDS EXIST FOR THE HOUSE OF REPRESENTATIVES TO EXERCISE ITS CONSTITUTIONAL POWER TO IMPEACH JOSEPH BIDEN, PRESIDENT OF THE UNITED STATES OF AMERICA, AND FOR OTHER PURPOSES",House Rules
H. Rept. 118-313,https://www.congress.gov/congressional-report/118th-congress/house-report/313/1,118th Congress (2023-2024),H.R. 2365,DR. EMMANUEL BILIRAKIS NATIONAL PLAN TO END PARKINSON'S ACT,House Energy and Commerce
H. Rept. 118-312,https://www.congress.gov/congressional-report/118th-congress/house-report/312/1,118th Congress (2023-2024),H.R. 2627,INCREASING INVESTOR OPPORTUNITIES ACT,House Financial Services
H. Rept. 118-311,https://www.congress.gov/congressional-report/118th-congress/house-report/311/1,118th Congress (2023-2024),H.R. 3063,RETIREMENT FAIRNESS FOR CHARITIES AND EDUCATIONAL INSTITUTIONS ACT OF 2023,House Financial Services
H. Rept. 118-310,https://www.congress.gov/congressional-report/118th-congress/house-report/310/1,118th Congress (2023-2024),H.R. 1553,HELPING ANGELS LEAD OUR STARTUPS ACT OF 2023,House Financial Services
H. Rept. 118-309,https://www.congress.gov/congressional-report/118th-congress/house-report/309/1,118th Congress (2023-2024),H.R. 5988,TO AMEND THE INTERNAL REVENUE CODE OF 1986 TO PROVIDE SPECIAL RULES FOR THE TAXATION OF CERTAIN RESIDENTS OF TAIWAN WITH INCOME FROM SOURCES WITHIN THE UNITED STATES,House Ways and Means
H. Rept. 118-308,https://www.congress.gov/congressional-report/118th-congress/house-report/308/1,118th Congress (2023-2024),H.Res. 922,"PROVIDING FOR CONSIDERATION OF THE BILL (H.R. 1147) TO AMEND THE RICHARD B. RUSSELL NATIONAL SCHOOL LUNCH ACT TO ALLOW SCHOOLS THAT PARTICIPATE IN THE SCHOOL LUNCH PROGRAM UNDER SUCH ACT TO SERVE WHOLE MILK; PROVIDING FOR CONSIDERATION OF THE BILL (H.R. 357) TO REQUIRE THE HEAD OF AN AGENCY TO ISSUE AND SIGN ANY RULE ISSUED BY THAT AGENCY, AND FOR OTHER PURPOSES; AND FOR OTHER PURPOSES",House Rules
H. Rept. 118-307,https://www.congress.gov/congressional-report/118th-congress/house-report/307/1,118th Congress (2023-2024),H.R. 6570,PROTECT LIBERTY AND END WARRANTLESS SURVEILLANCE ACT OF 2023,House Judiciary
H. Rept. 118-306,https://www.congress.gov/congressional-report/118th-congress/house-report/306/1,118th Congress (2023-2024),H.R. 6093,WEATHER RESEARCH AND FORECASTING INNOVATION REAUTHORIZATION ACT OF 2023,"House Science, Space, and Technology"
H. Rept. 118-305,https://www.congress.gov/congressional-report/118th-congress/house-report/305/1,118th Congress (2023-2024),H.R. 5473,PROMOTING RESILIENT BUILDINGS ACT OF 2023,House Transportation and Infrastructure
H. Rept. 118-304,https://www.congress.gov/congressional-report/118th-congress/house-report/304/1,118th Congress (2023-2024),H.R. 5524,FOREIGN AFFILIATES SHARING PILOT PROGRAM EXTENSION ACT,House Financial Services
H. Rept. 118-303,https://www.congress.gov/congressional-report/118th-congress/house-report/303/1,118th Congress (2023-2024),H.R. 5119,PROTECT SMALL BUSINESS AND PREVENT ILLICIT FINANCIAL ACTIVITY ACT,House Financial Services
H. Rept. 118-302,https://www.congress.gov/congressional-report/118th-congress/house-report/302/1,118th Congress (2023-2024),H.R. 6611,FISA REFORM AND REAUTHORIZATION ACT OF 2023,House Intelligence (Permanent Select)
H. Rept. 118-301,https://www.congress.gov/congressional-report/118th-congress/house-report/301/1,118th Congress (2023-2024),H.R. 2670,NATIONAL DEFENSE AUTHORIZATION ACT FOR FISCAL YEAR 2024,
H. Rept. 118-300,https://www.congress.gov/congressional-report/118th-congress/house-report/300/1,118th Congress (2023-2024),H.R. 2839,"TO AMEND THE SILETZ RESERVATION ACT TO ADDRESS THE HUNTING, FISHING, TRAPPING, AND ANIMAL GATHERING RIGHTS OF THE CONFEDERATED TRIBES OF SILETZ INDIANS, AND FOR OTHER PURPOSES",House Natural Resources
H. Rept. 118-299,https://www.congress.gov/congressional-report/118th-congress/house-report/299/1,118th Congress (2023-2024),H.R. 4250,PROTECT REPORTERS FROM EXPLOITATIVE STATE SPYING ACT,House Judiciary
